City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,kenora,49.8167,-94.4337,261.36,72,89,2.24,CA,1675638429
111,yanam,16.7333,82.2167,291.12,93,7,0.63,IN,1675638168
112,nyurba,63.2842,118.3319,225.24,100,68,1.76,RU,1675638429
113,luanda,-8.8368,13.2343,300.15,78,75,3.09,AO,1675638430
114,ribeira grande,38.5167,-28.7,289.69,90,100,4.47,PT,1675638431
115,saint-georges,12.0564,-61.7485,298.97,78,20,7.72,GD,1675638431
116,narsaq,60.9167,-46.05,265.27,73,100,7.55,GL,1675638432
117,kaiyuan,23.6977,103.3037,284.63,94,12,3.17,CN,1675638433
118,dikson,73.5069,80.5464,254.05,97,100,0.74,RU,1675638434
119,plettenberg bay,-34.0527,23.3716,294.8,91,100,1.32,ZA,1675638434
120,belaya gora,68.5333,146.4167,231.8,100,97,0.63,RU,1675638435
121,hoi an,15.8794,108.335,296.13,91,67,2.1,VN,1675638435
122,kikwit,-5.041,18.8162,294.31,96,91,0.99,CD,1675638437
123,winslow,35.0242,-110.6974,291.25,14,0,9.26,US,1675638438
124,jalu,29.0331,21.5482,284.2,62,11,5.37,LY,1675638438
125,xocali,39.913,46.7903,275.42,67,100,0.33,AZ,1675638439
126,baruun-urt,46.6806,113.2792,254.7,90,62,2.18,MN,1675638440
127,new norfolk,-42.7826,147.0587,292.99,60,99,1.79,AU,1675638441
128,lebu,-37.6167,-73.65,290.11,87,1,8.66,CL,1675638441
129,salalah,17.0151,54.0924,295.2,73,0,1.54,OM,1675638442
130,severo-kurilsk,50.6789,156.125,269.93,78,98,3.33,RU,1675638442
131,leningradskiy,69.3833,178.4167,243.27,98,100,1.84,RU,1675638443
132,southbridge,42.0751,-72.0334,278.53,63,97,1.34,US,1675638443
133,oktyabrskiy,54.4815,53.471,264.12,97,100,0.92,RU,1675638444
134,tiksi,71.6872,128.8694,240.8,100,100,1.63,RU,1675638445
135,kapaa,22.0752,-159.319,300.33,79,40,6.69,US,1675638445
136,fare,-16.7,-151.0167,300.64,74,71,6.16,PF,1675638446
137,barrow,71.2906,-156.7887,245.16,83,100,0.0,US,1675638447
138,komsomolskiy,40.4272,71.7189,277.55,87,100,2.06,UZ,1675638448
139,bend,44.0582,-121.3153,280.75,56,40,6.69,US,1675637902
140,yulara,-25.2406,130.9889,297.15,17,0,4.81,AU,1675638449
141,cherskiy,68.75,161.3,231.86,100,100,2.06,RU,1675638449
142,zhezkazgan,47.8043,67.7144,269.51,92,99,3.5,KZ,1675638450
143,beringovskiy,63.05,179.3167,245.02,93,98,5.37,RU,1675638450
144,nelson bay,-32.7167,152.15,300.42,69,4,0.89,AU,1675638176
145,hurghada,27.2574,33.8129,288.18,34,48,3.2,EG,1675638451
146,westport,41.1415,-73.3579,279.57,68,100,4.73,US,1675638452
147,kosovska mitrovica,42.8833,20.8667,268.34,80,71,3.37,XK,1675638452
148,potiskum,11.7091,11.0694,296.67,20,84,4.25,NG,1675638453
149,puerto leguizamo,-0.1934,-74.7819,297.25,87,81,1.85,CO,1675638453
150,kodiak,57.79,-152.4072,276.88,100,100,3.6,US,1675638454
151,nsoko,-27.0333,31.95,294.12,94,37,1.8,SZ,1675638455
152,kelowna,49.8831,-119.4857,281.38,79,100,1.79,CA,1675638455
153,wyszkow,52.5928,21.4584,270.34,87,80,1.71,PL,1675638456
154,kruisfontein,-34.0033,24.7314,296.97,87,76,3.54,ZA,1675638456
155,homer,59.6425,-151.5483,276.09,80,100,9.77,US,1675638457
156,saldanha,-33.0117,17.9442,291.34,93,17,7.05,ZA,1675638457
157,coihaique,-45.5752,-72.0662,292.49,39,40,2.57,CL,1675638159
158,galveston,29.3669,-94.9669,296.58,77,0,4.63,US,1675638458
159,torbay,47.6666,-52.7314,269.58,75,75,8.23,CA,1675638459
160,hithadhoo,-0.6,73.0833,300.16,70,86,4.3,MV,1675638459
161,verkhnetulomskiy,68.6073,31.7962,260.22,96,100,1.76,RU,1675638460
162,svetlaya,46.5389,138.3297,260.51,74,1,2.79,RU,1675638460
163,weligama,5.9667,80.4167,297.44,91,99,0.48,LK,1675638461
164,zhengjiatun,43.5064,123.5064,261.95,80,13,0.66,CN,1675638323
165,mier,26.4333,-99.15,299.28,33,0,3.82,MX,1675638462
166,katete,-0.7818,29.7544,291.42,52,70,1.35,UG,1675638462
167,barcelos,41.5388,-8.6151,285.29,67,0,2.97,PT,1675638406
168,carutapera,-1.195,-46.02,297.62,93,100,2.71,BR,1675638463
169,pucallpa,-8.3791,-74.5539,299.17,78,75,2.57,PE,1675638464
170,klaksvik,62.2266,-6.589,282.66,93,100,15.44,FO,1675638464
171,biscarrosse,44.3945,-1.1672,280.12,81,100,4.12,FR,1675638465
172,lasa,46.6166,10.7002,272.05,92,56,2.65,IT,1675638466
173,lavrentiya,65.5833,-171.0,254.18,91,100,4.1,RU,1675638466
174,cockburn town,21.4612,-71.1419,298.41,81,0,10.35,TC,1675638467
175,ileza,61.0533,43.9002,252.61,100,99,0.55,RU,1675638467
176,galle,6.0367,80.217,298.06,88,93,0.86,LK,1675638468
177,umm kaddadah,13.6017,26.6876,292.15,17,54,5.26,SD,1675638468
178,atbasar,51.8,68.3333,262.32,96,100,3.15,KZ,1675638469
179,lata,40.1629,-8.3327,282.08,75,0,2.13,PT,1675638470
180,sur,22.5667,59.5289,294.56,71,26,2.74,OM,1675638470
181,ajdabiya,30.7554,20.2263,285.39,51,97,10.87,LY,1675638471
182,victoria,22.2855,114.1577,292.25,86,95,1.79,HK,1675638471
183,mbini,1.574,9.6134,300.21,82,95,4.62,GQ,1675638472
184,semnan,35.5729,53.3971,275.81,44,12,1.01,IR,1675638473
185,vanimo,-2.6741,141.3028,298.66,89,100,1.29,PG,1675638473
186,arraial do cabo,-22.9661,-42.0278,298.33,89,46,2.37,BR,1675638474
187,comodoro rivadavia,-45.8667,-67.5,290.36,65,16,7.15,AR,1675638474
188,mar del plata,-38.0023,-57.5575,299.17,63,40,6.19,AR,1675638475
189,sobolevo,54.4299,31.8996,267.15,95,100,2.34,RU,1675638475
190,port lincoln,-34.7333,135.8667,291.51,70,8,6.2,AU,1675638476
191,herat,34.5,62.0,277.85,83,0,2.56,AF,1675638477
192,cabo san lucas,22.8909,-109.9124,300.71,46,40,4.18,MX,1675638001
193,vanavara,60.34,102.2797,259.57,97,100,1.58,RU,1675638477
194,sulechow,52.0836,15.6251,269.62,46,95,1.02,PL,1675638478
195,kavieng,-2.5744,150.7967,301.22,74,94,2.51,PG,1675638478
196,vezirkopru,41.1436,35.4547,276.42,89,100,1.72,TR,1675638479
197,zaria,11.1113,7.7227,297.34,17,100,4.49,NG,1675638479
198,tuktoyaktuk,69.4541,-133.0374,234.61,100,60,2.43,CA,1675638480
199,tamandare,-8.7597,-35.1047,299.36,82,17,3.36,BR,1675638480
200,waddan,29.1614,16.139,283.85,72,40,3.81,LY,1675638481
201,tema,5.667,-0.0166,300.99,77,100,5.12,GH,1675638481
202,kaitangata,-46.2817,169.8464,292.01,61,68,7.75,NZ,1675638482
203,yaqui,27.3667,-110.1667,299.46,24,3,6.25,MX,1675638482
204,amga,60.8953,131.9608,230.08,100,100,0.71,RU,1675638483
205,pringsewu,-5.3582,104.9744,295.27,77,100,0.48,ID,1675638484
206,buraydah,26.326,43.975,288.34,40,62,3.3,SA,1675638430
207,tarapur,19.85,72.7,295.01,45,6,2.5,IN,1675638485
208,sitka,57.0531,-135.33,279.09,61,100,7.72,US,1675638485
209,olinda,-8.0089,-34.8553,301.0,74,40,3.6,BR,1675638404
210,pacific grove,36.6177,-121.9166,286.72,76,75,7.2,US,1675638372
211,knysna,-34.0363,23.0471,295.41,91,93,1.4,ZA,1675638486
212,dingle,10.9995,122.6711,296.83,93,46,3.38,PH,1675638487
213,esperance,-33.8667,121.9,294.49,59,71,7.21,AU,1675638488
214,mitchell,43.7094,-98.0298,273.14,79,0,4.47,US,1675638223
215,toamasina,-18.1667,49.3833,296.65,93,100,4.63,MG,1675638488
216,senanga,-16.1167,23.2667,293.06,94,93,2.78,ZM,1675638489
217,saskylakh,71.9167,114.0833,231.55,100,94,1.84,RU,1675638489
218,moose factory,51.2585,-80.6094,254.14,71,40,1.54,CA,1675638490
219,barabai,-2.5833,115.3833,296.31,94,100,0.14,ID,1675638491
220,vallenar,-28.5708,-70.7581,299.32,43,2,2.58,CL,1675638491
221,marsa matruh,31.3525,27.2453,284.38,62,41,15.19,EG,1675638492
222,saint george,37.1041,-113.5841,289.48,47,0,6.69,US,1675637916
223,goias,-15.5807,-49.6362,295.89,85,88,0.74,BR,1675638493
224,frankfort,-27.2667,28.4833,288.03,81,56,2.49,ZA,1675638059
225,margate,51.3813,1.3862,278.54,86,73,1.79,GB,1675638179
226,te anau,-45.4167,167.7167,287.1,90,100,3.02,NZ,1675638416
227,pangnirtung,66.1451,-65.7125,235.81,96,91,1.76,CA,1675638495
228,kudat,6.8837,116.8477,297.96,88,59,4.21,MY,1675638495
